irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
530469|NEWHM : 2016.H3.25|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus viridis"" and ""Grunling"". Number 25 of 91, Box I, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||84|44|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530470|NEWHM : 2016.H3.26|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus caperatus"" and ""Runzelfchnamm"". Number 26 of 91, Box I, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||87|43|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530471|NEWHM : 2016.H3.27|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus amethystinus"" and ""Litafchnamm"". Number 27 of 91, Box I, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||66|40|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530472|NEWHM : 2016.H3.28|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 28 of 91, Box I, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||55|30|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530473|NEWHM : 2016.H3.29|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 29 of 91, Box J, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||63|46|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530474|NEWHM : 2016.H3.30|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Boletus granulatus"" and ""Gchmeerling"". Number 30 of 91, Box J, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||73|52|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530475|NEWHM : 2016.H3.31|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Bol. ovinus"" and ""Gchafeuter"". Number 31 of 91, Box J, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||55|52|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530476|NEWHM : 2016.H3.32|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi ulabelled. Number 32 of 91, Box J, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||45|30|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530477|NEWHM : 2016.H3.33|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Boletus luridus"" and ""Herenpilz"". Number 33 of 91, Box K, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||81|69|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530479|NEWHM : 2016.H3.34|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Boletus edulis"" and ""Steinpilz"". Number 34 of 91, Box K, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||99|65|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530228|NEWHM : 2016.H2|Natural Sciences|Botany|Land Plants|1|plant|Materia Medica|Wooden cabinet of 'Materia Medica' - herbs, minerals and other substances used in traditional medicine. This box was intended as a teaching aid for medical students||||||||16||cm|||9
530527|NEWHM : 2016.H3.78|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Helvella"" and ""Zorchel"". Number 78 of 91, Box X, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||76|52|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530528|NEWHM : 2016.H3.79|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. fuliginosus"" and ""Rukiger Milchblatter"". Number 79 of 91, Box X, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||64|52|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530529|NEWHM : 2016.H3.80|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. blennius"" and ""Grunlicher Milchfnamm"". Number 80 of 91, Box X, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||59|56|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530530|NEWHM : 2016.H3.81|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 81 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||39|19|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530531|NEWHM : 2016.H3.82|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 82 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||31|26|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530532|NEWHM : 2016.H3.83|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 83 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||29|25|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530533|NEWHM : 2016.H3.84|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 84 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||47|23|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530534|NEWHM : 2016.H3.85|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 85 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||41|21|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530535|NEWHM : 2016.H3.86|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 86 of 91, Box Y, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||40|43|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
