irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
530228|NEWHM : 2016.H2|Natural Sciences|Botany|Land Plants|1|plant|Materia Medica|Wooden cabinet of 'Materia Medica' - herbs, minerals and other substances used in traditional medicine. This box was intended as a teaching aid for medical students||||||||16||cm|||9
148033|NEWHM : 1998.H5338|Natural Sciences|Botany|Land Plants|1|plant|Lycopodiaceae|Lycopodiaceae.||Club Moss|Lycopodiaceae & Huperzia selago : : : :|Wilkinson, Miss I.|||||||||2
148486|NEWHM : 1998.H5798|Natural Sciences|Botany|Land Plants|1|plant|Papilionaceae|Papilionaceae.||Restharrow|Papilionaceae & Ononis arvensis L. : : : :|Lacey, Dr A.||UK, England, Northumberland (NE England), North Tyneside, Whitley Bay|||||||1
148824|NEWHM : 1998.H7365|Natural Sciences|Botany|Land Plants|1|plant|Fabaceae|Fabaceae.||Rest Harrow|Ononis repens : Fabaceae : Fabales : :|Heslop-Harrison, J. W. (?)|||||||||1
148830|NEWHM : 1998.H7371|Natural Sciences|Botany|Land Plants|1|plant|Fabaceae|Fabaceae.||Rest Harrow| : Fabaceae : Fabales : :|Heslop-Harrison, J. W. (?)||UK, England, Co Durham, Seaham|||||||1
149207|NEWHM : 2002.H4114|Natural Sciences|Botany|Land Plants|1|plant|Viviparous Fescue|Gramineae.|This species is a hardy grass that can be found throughout North America, Europe and Asia. It has also been introduced to Australia and New Zealand. It is common in upland areas on poor soils, but tolerates a broad range of environmental conditions. Its name, Viviparous Fescue, refers to the fact that the adult plant produces seedlings rather than seeds.|Grass| : : : :|Cook, Ron|18/06/1990|UK, Scotland, Inverness-shire, Lake Quoich|||||||2
149208|NEWHM : 2002.H4115|Natural Sciences|Botany|Land Plants|1|plant, plant|Sheep's Fescue|Gramineae.|A hardy grass species that is found throughout the northern hemisphere. It grows up to 25cm high. It grows on a variety of different soil types, and can withstand drought conditions and winter temperatures down to about 35 degrees below zero. It can also withstand heavy grazing and is a nutritious fodder species for livestock, although it generally produces low yields.|Grass| : : : :|Cook, Ron|22/06/1990|UK, Scotland, Inverness-shire, Kinlochourn||||||<PHOTOGRAPHY METHOD>: field collection|2
149209|NEWHM : 2002.H4116|Natural Sciences|Botany|Land Plants|1|plant|Gramineae|Gramineae.|This is a very common and widespread species which occurs throughout Europe, Asia and North America. It grows on moist, nutrient rich soils. It is very nutritious and withstands heavy grazing, as well as being very palatable to livestock. This makes it an important agricultural species.|Rough Meadow Grass| : : : :|Cook, Ron|14/07/1990|UK, England, Northumberland (NE England), Nunykirk|||||||2
149210|NEWHM : 2002.H4117|Natural Sciences|Botany|Land Plants|1|plant|Gramineae|Gramineae.|Perennial Rye-Grass is a temperate zone grass species that prefers moist, nutrient rich soils. It is a very important fodder crop for livestock due to its high nitrogen content, rapid growth rate and ability to withstand heavy grazing. For this reason it has been grown all over the world. It is also used to make hay and silage. Many different varieties have been bred.|Perrenial Rye grass| : : : :|Cook, Ron|07/06/1992|UK, Scotland, Sutherland, Golspie|||||||2
149211|NEWHM : 2002.H4118|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.|This species grows on moist, nutrient rich soils in temperate areas with moderate climates throughout Europe and North America. It can be found in damp grassland areas, woodland and marshes. It flowers during June and July. It is a widespread and abundant species.|Purple Small Reed|Gramineae & Calamagrostis canescens : Gramineae : : :|Douglas, Ian|22/08/2001|Cannomill Bog|||||||1
149212|NEWHM : 2002.H4119|Natural Sciences|Botany|Land Plants|1|plant|Gramineae|Gramineae.|This species is a small grass that is found mainly in coastal areas. It is native to Europe, north Africa and temperate Asia, and has been introduced to Western Australia, where it is a significant weed species. It is extremely drought and heat tolerant and normally grows in dry, sandy soils.|Sea Fern Grass| : : : :|Cook, Ron|19/06/1992|UK, Scotland, Sutherland, Golspie|||||||1
149258|NEWHM : HX45|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1877-07-|UK, England, Berkshire, Old Windsor|||||||1
149339|NEWHM : HX126|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :|||UK, England, Tyne and Wear (NE England), South Shields, at the links|||||||1
149340|NEWHM : HX127|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1839-08-12|UK, Scotland, Tayside (Scotland)|||||||1
149341|NEWHM : HX128|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1851-07-|UK, England, Cumbria, Gelt Foot (nr.)|||||||1
149342|NEWHM : HX129|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1825-08-|UK, Wales, North Wales, Clwyd, Abergele|||||||1
149343|NEWHM : HX130|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1822-08-|UK, England, North Yorkshire (NE England), Sleights|||||||1
149344|NEWHM : HX131|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1856-07-|UK, England, Cumbria, Grasmere|||||||1
149345|NEWHM : HX132|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :||1856-07-|UK, England, Cumbria, Grasmere|||||||1
149346|NEWHM : HX133|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Plant.||Restharrow|Ononis repens : Fabaceae : Fabales : :||23/07/1955|UK, England, Northumberland (NE England), Embleton|||||||1
149347|NEWHM : HX134|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :|McLean-Brown, Reverend W.|1893-06-21|UK, England, Northumberland, Hartley Links|||||||1
149348|NEWHM : HX135|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :|||UK, England, Northumberland (NE England), Cullercoats (nr.), on The Sea Coast|||||||1
149368|NEWHM : HX155|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Restharrow|Ononis repens : Fabaceae : Fabales : :|Scott, M.|02/08/1913|UK, England, North Yorkshire (NE England), Wensleydale, Aysgarth Falls|||||||1
151003|NEWHM : HX1790|Natural Sciences|Botany|Land Plants|1|plant|Pteridophyte|Pteridophyte.|This is a small fern which grows throughout Eurasia and North America. It produces dense upright tufts of leaves and prefers rocky environments such as mountain slopes and cliffs. It is normally found on slate or calcareous rocks, particularly limestone. The name 'Woodsia' comes from the botanist Joseph Woods (1776-1864) who first described the species.|Alpine Woodsia|Athyriaceae & Woodsia ilvensis : : : :|Mudd, W.|1840|Craig-Na-Callich|||||||1
151498|NEWHM : HX2285|Natural Sciences|Botany|Land Plants|1|plant|Pteridophyte|Pteridophyte.|This is a small plant that grows in damp, shaded environments. It is commonly found growing in rock crevices and on the forest floor in deep shade. It has a superficial resemblance to tufts of moss. The tiny leaves are very thin and are semi-transparent, hence the name 'filmy-fern'. It is found growing in suitable conditions all over the British Isles.|Wilson's Filmy Fern|Hymenophyllaceae & Hymenophyllum wilsonii hook. : : : :|Mudd, W.|1860|UK, England, Yorkshire (NE England), Farndale|remounted||||||1
166946|NEWHM : HX17771|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Common Restharrow|Ononis repens : Fabaceae : Fabales : :|Long, A. G.|1959-07-|UK, Scotland, Berwickshire (Scotland), Edrom, Whitadder|||||||1
170236|NEWHM : HX21062|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Common Restharrow|Ononis repens : Fabaceae : Fabales : :||||||||||1
172462|NEWHM : HX23288|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Common Restharrow|Ononis repens : Fabaceae : Fabales : :|Storey, John|1838-08-|UK, England, Humberside, Laxton (nr.)|||||||1
173171|NEWHM : HX23997|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Bramble|Rubus plicatus var. bertramii : Rosaceae : Rosales : :|Ley, Augustin|1908-08-|UK, Wales, Brecon, Penderyn|||||||1
173172|NEWHM : HX23998|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Bramble|Rubus plicatus wh. and n. : Rosaceae : Rosales : :|Riddelsdell, H. J.|03/08/1909|UK, Wales, South Glamorgan, Whitchurch|||||||1
174293|NEWHM : HX25122|Natural Sciences|Botany|Land Plants|1|plant|Pteridophyte|Pteridophyte.||Fir Club Moss|Lycopodiaceae & Lycopodium selago : : : :|Graham, Dr||UK, Scotland, Tayside Region, Clova (Mountains)|||||||1
174294|NEWHM : HX25123|Natural Sciences|Botany|Land Plants|1|plant|Pteridophyte|Pteridophyte.||Fir Club Moss|Lycopodiaceae & Lycopodium selago : : : :|Mateer, Dr W.|1850-08-|Europe, Ireland, Co. Antrim, Mountain|||||||1
174757|NEWHM : HX25586|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Common Restharrow|Ononis repens : Fabaceae : Fabales : :|Hird, L. P.|1951||||||||1
174844|NEWHM : HX25673|Natural Sciences|Botany|Land Plants|1|plant|Angiosperm|Angiosperm.||Common Restharrow|Ononis repens : Fabaceae : Fabales : :|Hird, L. P.|1951||||||||1
202933|NEWHM : 2009.H618|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Eudrendrium capillare preserved in spirit.|||eudrendrium capillare : : : :||||preservation||||||1
202934|NEWHM : 2009.H619|Natural Sciences|Botany|Land Plants|2|unidentified spirit specimen||Sucom cilicitum preserved in spirit.|||sucom cilicitum : : : :||||preservation||||||1
202935|NEWHM : 2009.H620|Natural Sciences|Botany|Land Plants|1|plant||Unidentifed plant preserved in spirit.||Unidentified species| : : : :||||preservation||||||1
202936|NEWHM : 2009.H621|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Hydrallmania falcata preserved in spirit.|||hydrallmania falcata : : : :||||preservation||||||1
202939|NEWHM : 2009.H624|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Diphasia fallax preserved in spirit.|||diphasia fallax : : : :||||preservation||||||1
202945|NEWHM : 2009.H630|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Nicella reticulata preserved in spirit.|||nicella reticulata : : : :||||preservation||||||1
202950|NEWHM : 2009.H635|Natural Sciences|Botany|Land Plants|1|plant||Puccinia menthae (fungal plant pathogen that causes rust on mint plants) preserved in spirit.||Mint|puccinia menthe : : : :||||preservation||||||1
202953|NEWHM : 2009.H638|Natural Sciences|Botany|Land Plants|1|spirit specimen|potato mosaic|Potato mosaic (virus) preserved in spirit.||Unidentified species| : : : :||||preservation||||||1
202962|NEWHM : 2009.H647|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Unidentified preserved in spirit.||Unidentified species| : : : :||||preservation||||||1
202963|NEWHM : 2009.H648|Natural Sciences|Botany|Land Plants|1|plant||Snow mould of barley preserved in spirit.||Snow Mould (of barley)| : : : :||||preservation||||||1
202965|NEWHM : 2009.H650|Natural Sciences|Botany|Land Plants|1|plant||Unidentified plant preserved in spirit.||Unidentified species| : : : :||||preservation||||||1
202966|NEWHM : 2009.H651|Natural Sciences|Botany|Land Plants|1|plant, disease|plant disease|Systopus candidus preserved in spirit.|||systopus candidus : : : :||||preservation||||||1
202967|NEWHM : 2009.H652|Natural Sciences|Botany|Land Plants|3|spirit specimen|vegetable|Corticum solani preserved in spirit.|||corticum solani : : : :||||preservation||||||1
202968|NEWHM : 2009.H653|Natural Sciences|Botany|Land Plants|2|spirit specimen|vegetable|White rot of onions preserved in spirit.||Onion| : : : :||||preservation||||||1
202969|NEWHM : 2009.H654|Natural Sciences|Botany|Land Plants|2|spirit specimen|vegetable|Pod and leaf spot of dwarf french bean, preserved in spirit.||Dwarf French Bean| : : : :||||preservation||||||1
202970|NEWHM : 2009.H655|Natural Sciences|Botany|Land Plants|2|spirit specimen|vegetable|Tomato streak caused by a strain of tobacco mosaic virus, preserved in spirit (label on jar spelt 'mosiac').||Tomato| : : : :||||preservation||||||1
202971|NEWHM : 2009.H656|Natural Sciences|Botany|Land Plants||plant||Tomato spotted wilt virus on dahlia, preserved in spirit.||Dahlia| : : : :||||preservation||||||1
202972|NEWHM : 2009.H657|Natural Sciences|Botany|Land Plants|2|spirit specimen|vegetable|Mouldy nose of onion preserved in spirit.||Onion| : : : :||||preservation||||||1
202973|NEWHM : 2009.H658|Natural Sciences|Botany|Land Plants|2|spirit specimen|vegetable|Blight of leek preserved in spirit.||Leek| : : : :||||preservation||||||1
202974|NEWHM : 2009.H659|Natural Sciences|Botany|Land Plants|2|unidentified spirit specimen||Ascochyta fabae preserved in spirit.|||ascochyta fabae : : : :||||preservation||||||1
202975|NEWHM : 2009.H660|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Phytophthora preserved in spirit.|||phytophthora : : : :||||preservation||||||1
202976|NEWHM : 2009.H661|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Spongospora subterranea preserved in spirit.|||spongospora subterranea : : : :||||preservation||||||1
202977|NEWHM : 2009.H662|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Unidentified plant(?) preserved in spirit.||Unidentified species| : : : :||||preservation||||||1
202978|NEWHM : 2009.H663|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Thielaviopsis basicola (plant pathogen) preserved in spirit.|||thielaviopsis basicola : : : :||||preservation||||||1
203035|NEWHM : 2009.H720|Natural Sciences|Botany|Land Plants|1|spirit specimen|vegetable|Ring spot on cabbage preserved in spirit.||Cabbage|Plantae : : : :||||preservation||||||1
203057|NEWHM : 2009.H742|Natural Sciences|Botany|Land Plants|1|spirit specimen|vegetable|Crown gall on sugar beet preserved in spirit.||Sugar Beet|agrobacterium tumefaciens : : : :||||preservation||||||1
203101|NEWHM : 2009.H786|Natural Sciences|Botany|Land Plants|2|unidentified spirit specimen||Thecocarpus myriophyllum preserved in spirit.|||thecocarpus myriophyllum : : : :||||preservation||||||1
203130|NEWHM : 2009.H815|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Diphasia on kelp preserved in spirit.||Kelp| : : : :||||preservation||||||1
203131|NEWHM : 2009.H816|Natural Sciences|Botany|Land Plants|1|plant||Unidentified plant preserved in spirit.|||||||preservation||||||1
203169|NEWHM : 2009.H854|Natural Sciences|Botany|Land Plants|1|unidentified spirit specimen||Piece of laminania in spirit.||Kelp (?)|laminania (piece of) : : : :||||preservation||||||1
203372|NEWHM : 2009.H1057|Natural Sciences|Botany|Land Plants|2|plant||Spurblight and brown rot of stone fruits preserved in spirit.||Spur Blight|spurblight and brown rot of stone fruits : : : :||||preservation||||||1
203375|NEWHM : 2009.H1060|Natural Sciences|Botany|Land Plants||plant||Cane blight of raspberry preserved in spirit.||Raspberry| : : : :||||preservation||||||1
203387|NEWHM : 2009.H1072|Natural Sciences|Botany|Land Plants|1|plant||Unidentified plant preserved in spirit.|||||||preservation||||||1
203399|NEWHM : 2009.H1084|Natural Sciences|Botany|Land Plants||plant||Unidentified plants and sees preserved in spirit.|||||||preservation||||||1
203500|NEWHM : 2009.H1186|Natural Sciences|Botany|Land Plants||spirit specimen|nut|Hazlenuts preserved in spirit.||Hazlenuts| : : : :||||preservation||||||1
203539|NEWHM : 2009.H1225|Natural Sciences|Botany|Land Plants|1|plant||Unid plant preserved in spirit.|||||||preservation||||||1
203540|NEWHM : 2009.H1226|Natural Sciences|Botany|Land Plants|2|spirit specimen|crop|Potato x2 preserved in spirit.||Potato| : : : :||||preservation||||||1
203708|NEWHM : 2009.H1394|Natural Sciences|Botany|Land Plants|1|spirit specimen|fruit|Unidentified fruit, preserved in spirit.|||||||preservation||||||1
