irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
134884|NEWHM : HANM.3.4708|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)||Permian Marl Slate.|||||||||||||||||||||1
134928|NEWHM : HANM.3.4789|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|2|rock (sedimentary)||Concretionary limestone.|||||||||||||||||||||1
134930|NEWHM : HANM.3.4791|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134931|NEWHM : HANM.3.4792|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134932|NEWHM : HANM.3.4793|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|4|rock (sedimentary)||Concretionary Limestone.||||||Permian (Late) & Zechstein (Durham Province)|Concretionary Limestone||||||||||||||1
134933|NEWHM : HANM.3.4794|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134934|NEWHM : HANM.3.4795|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134935|NEWHM : HANM.3.4796|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134937|NEWHM : HANM.3.4798|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134938|NEWHM : HANM.3.4799|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134939|NEWHM : HANM.3.4800|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
