irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
73416|NEWHM : 2002.H4009|Natural Sciences|Earth Sciences|Petrology|1|model||Sopwith 3in. 1841 wooden model (no. I).|||||||||||||||||||||1
73417|NEWHM : 2002.H4010|Natural Sciences|Earth Sciences|Petrology|1|model||Sopwith 3in. 1841 wooden model (no. II).|||||||||||||||||||||1
73418|NEWHM : 2002.H4011|Natural Sciences|Earth Sciences|Petrology|1|model||Sopwith 3in. 1841 wooden model (no. III).|||||||||||||||||||||1
73421|NEWHM : 2002.H4014|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number XII from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|||||||||||||||||||||1
73424|NEWHM : 2004.H107|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number II from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||3
73425|NEWHM : 2004.H108|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number X from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73426|NEWHM : 2004.H109|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number VI from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73427|NEWHM : 2004.H110|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number IX from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73435|NEWHM : 2004.H1961|Natural Sciences|Earth Sciences|Petrology|1|model|Sopwith model no. XII|One of a set of wooden models representing geological strata, made in 1841. This example is model XII, from the 3in. set.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
73436|NEWHM : 2004.H1962|Natural Sciences|Earth Sciences|Petrology|4|sopwith model|Sopwith model no. III|A wooden geological model (number III from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
