irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
528008|NEWHM : HANM.3.1882.1|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|Glass Sea Sponge||Antarctic|||||||||||||||6 glass sea sponge specimens after conservation|1
125764|NEWHM : HANM.2.515|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|marine gastropod mollusc|sea snail|||Netted Olive|Mollusca & Gastropoda & Volutacea & Olividae & Oliva reticularis : : : : Mollusca|||||||||||||1
125765|NEWHM : HANM.2.516|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|marine gastropod mollusc|sea snail||||Mollusca & Gastropoda & Volutacea & Olividae & Oliva reticulata : : : : Mollusca|||||||||||||1
125851|NEWHM : HANM.2.602|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|marine gastropod mollusc|Sea snail|||Olive snail, Olive shell|Oliva : Olividae : Neogastropoda : Gastropoda : Mollusca|||||||||||||1
127313|NEWHM : HANM.2.2064|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||5|mollusc shell|marine gastropod|||||||||||||||||1
127314|NEWHM : HANM.2.2065|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
127336|NEWHM : HANM.2.2087|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|mollusc shell|marine gastropod|||||||||||||||||1
127338|NEWHM : HANM.2.2089|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|marine gastropod|||||||||||||||||1
130493|NEWHM : HANM.3.243|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|aquatic gastropod|||||||||||||||||1
130494|NEWHM : HANM.3.244|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|aquatic gastropod|||||||||||||||||1
130495|NEWHM : HANM.3.245|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|mollusc shell|aquatic gastropod|||||||||||||||||1
130497|NEWHM : HANM.3.247|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc shell|aquatic gastropod|||||||||||||||||1
130498|NEWHM : HANM.3.248|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|mollusc shell|aquatic gastropod|||||||||||||||||1
130499|NEWHM : HANM.3.249|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|aquatic gastropod|||||||||||||||||1
130500|NEWHM : HANM.3.250|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||18|mollusc shell|aquatic gastropod|||||||||||||||||1
130501|NEWHM : HANM.3.251|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|aquatic gastropod|||||||||||||||||1
130502|NEWHM : HANM.3.252|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|mollusc shell|terrestrial gastropod|||||||||||||||||1
