irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
527421|NEWHM : 2015.H95|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|nest|tree wasp|Spineless|The Tree wasp prefers to nest in hollow trees, although this colony chose a bird box. The wasps collect wood fibres which they chew into a pulp to construct the nest. An outer layer protects the comb, where hexagonal cells are constructed to rear the larvae. The wasp at the centre of this comb is the queen.|||||||||||||||1
46086|NEWHM : 1993.H290|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods|two legs missing|1|butterfly|||This dark coloured birdwing is found on the Tanimbar Islands, a small group of islands in the Timor Sea between East Timor and Australia. The large female has very pale forewings. Like most birdwing butterflies, this species lives in moist tropical rainforests. Its caterpillars feed on Aristolochia plants.||Troides haliphron ikarus : Papilionidae : Lepidoptera : Insecta : Arthropoda|||Indonesia, Tanimbar (= Tenimber) Islands||||||adult|Herbert Eltringham Collection|||1
46425|NEWHM : 1995.H929|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods|three legs missing|1|butterfly|||This species is found in The Philippines. It is very widespread and is the most common birdwing butterfly in the country. Unlike many birdwing butterflies, Troides rhadamanthus has persisted in many areas even after the clearance of the forests. It's caterpillars feed on the foliage of Aristolochia plants. This specimen was originally part of the butterfly collection of J.J. Joicey, who had a large collection of birdwing butterflies at his private museum, the Hill Museum, in Surrey.||Troides rhadamantus rhadamantus : Papilionidae : Lepidoptera : Insecta : Arthropoda|||Philippines||||1||adult|J.J. Joicey Collection|||1
46494|NEWHM : 1995.H1960|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods|only pieces present|1|butterfly|||||Arthropoda & Insecta & & : : : : Arthropoda|||||||||adult|J.J. Joicey Collection|||1
200315|NEWHM : 2002.H3332|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|butterfly|||This butterfly is a very adaptable species native to upland regions of South East Asia from India to Singapore. It occurs very locally, but can be extremely common in those areas, and thrives in a wide variety of environments. The caterpillars feed on several species of Fig tree as well as the Kalios tree, Streblus asper, and the Indian Plum tree, Flacourtia rukam.|Blue-branded King Crow|Arthropoda & Insecta & Lepidoptera & : : : : Arthropoda|Adamson, Colonel C. H.E.|1879-06-|Burma, Moulmein (nr.), Salween Park|||||||Adamson Collection|||1
200316|NEWHM : 2002.H3333|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|butterfly|||This species lives in South East Asia from Bengal in India to Sulawesi in Indonesia. It is a widespread member of the Milkweed butterfly family, which also contains the familiar orange and black American Monarch. It can be found in mature rainforest, coastal mangrove forests and also in cleared areas where the forest is regenerating. It is very distasteful to predators - the caterpillars feed on Billygoat Weed, Ageratum conyzoides and other weedy plants such as the creeper Raphistemma pulchellum.|Black-veined Tiger|Arthropoda & Insecta & Lepidoptera & Danadae : : : : Arthropoda|Adamson, Colonel C. H.E.|1867|Burma|||||||Adamson Collection|||1
200317|NEWHM : 2002.H3334|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|butterfly|||This butterfly is from Burma, but the species is found from India as far as the South East Asian islands. It is a large, slow flying forest species with a wingspan of about 6 cm. It prefers undisturbed primary rainforest. It is very distasteful to predators, and many other species of butterfly mimic its wing patterns. The caterpillar feeds on a variety of plants in the Milkweed family such as Indian Cockle, Cocculus indicus.||Arthropoda & Insecta & Lepidoptera & : : : : Arthropoda|Adamson, Colonel C. H.E.|1867|Burma|||||||Adamson Collection|||1
200318|NEWHM : 2002.H3335|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|butterfly|||The White Dragontail is the smallest member of the Swallowtail family. It lives in eastern Asia, from northern China to Indonesia. It is a very fast and erratic flyer and is sometimes compared to a tiny dragonfly. It usually stays on the wing and very rarely lands on vegetation. Small groups of this species are often seen circling around puddles or flowering bushes. The caterpillars feed on the forest shrub Illigera celebica. This specimen was collected in Burma.|White Dragontail|Arthropoda & Insecta & Lepidoptera & : : : : Arthropoda|Adamson, Colonel C. H.E.|1867|Burma|||||||Adamson Collection|||1
200319|NEWHM : 2002.H3336|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|butterfly|||"These small and very distinctive butterflies are found across eastern Asia from northern India to China and the Indonesian islands. They are fast flying forest butterflies, and can sometimes be mistaken for other species because their tails are not always visible in flight. In Malaysia and Singapore this species is known as Itamputi from the Malay words ""hitam"", meaning black, and ""putih"", meaning white."|Five-bar Swordtail|Arthropoda & Insecta & Lepidoptera & : : : : Arthropoda|Adamson, Colonel C. H.E.|1867|Burma|||||||Adamson Collection|||1
200320|NEWHM : 2002.H3337|Natural Sciences|Invertebrate Zoology|Insects and Other Arthropods||1|butterfly|||This is a fast flying butterfly found over much of southern Asia from India to Australia. There are lots of different subspecies. Its a forest species and is often seen flying in groups with other butterflies. Males often congregate in large groups around puddles or dung on the forest floor. The caterpillars of this species feed on plants in the Cinnamon family.|Common Bluebottle|Arthropoda & Insecta & Lepidoptera & : : : : Arthropoda|Adamson, Colonel C. H.E.|1867|Burma|||||||Adamson Collection|||1
