irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
527416|NEWHM : 2015.H90|Natural Sciences|Invertebrate Zoology|Molluscs||1|spirit specimen|dog whelk|Spineless|Dogwhelks are predatory snails that feed on other rocky shore animals like mussels. They have thick, compact shells and are capable of withstanding the turbulent environment of the rocky shore.|||||||||||||||1
524162|NEWHM : 2015.H51|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc shell|clam|Spineless|This is the shell of a Giant Clam, the largest species of bivalve (a type of shellfish) in the world growing up to one metre in size. Like all clams, the giant clam is a filter feeder taking tiny particles of food from the water. Algae, tiny single-celled plants, also grow in the clam?s flesh and produce nutrients which the clam can use.|Giant Clam shell|Tridacna gigas : : : :|||Australasia, Australia, Great Barrier Reef|||||||||Shell has been cleaned|5
20690|NEWHM : T0003|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc, mollusc|||A snail shell collected near Galera, on Russell Island in the Solomon Islands - a group of islands in the western Pacific. Many of the animal species found here, including snails, are found on only one island in the group. However, this species of snail is found across the whole island group, and also in Papua New Guinea and Australia. It has a very variable pattern of markings on its shell.||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Russel Island, Galera||type||||||||2
20704|NEWHM : T0017|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Florida Island||type||||||||3
20705|NEWHM : T0018|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Florida Island||||||||||2
20706|NEWHM : T0019|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Florida Island||types? figured spec t xx fig 5||||||||2
20707|NEWHM : T0020|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Florida Island||||||||||2
20725|NEWHM : T0038|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Guadalcanar||type||||||||2
20739|NEWHM : T0052|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||This species of snail is native to the island of Santa Isabel in the Solomon Islands, a group of islands in the western Pacific region near Papua New Guinea. Like many of the animal species native to the Solomons, this snail is found on only a single island in the group.||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Santa Isabel Island||type||||||||2
20749|NEWHM : T0062|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Pacific Ocean, Archipelago, Louisiade||type||||||||2
20750|NEWHM : T0063|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Ysabel Island||type||||||||2
20751|NEWHM : T0064|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|||||||||||||2
20752|NEWHM : T0065|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||These shells come from a species of snail that lives on the island of Guadalcanal in the Solomon Islands. The Solomons are a large group of islands in the tropical western Pacific. They are home to a very diverse group of animals, including many species of snail. These are some of the many snail shells collected from the Solomon Islands by a Newcastle shell collector, George French Angas, in the mid 19th century||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Guadalcanal Island||type||||||||2
20755|NEWHM : T0068|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc|||This snail is native to the island of Simbo, a small volcanic island in the Solomon Islands. These shells were collected from the island in the 19th century by George French Angas, who travelled throughout the Pacific islands collecting shells. They were later donated to the Hancock.||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Eddystone Island||type||||||||5
20762|NEWHM : T0075|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Ysabel Island||type||||||||2
20771|NEWHM : T0084|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||This is the shell of a snail that is found in North Western Australia. It was collected in the 19th century by a George French Angas, a man from Newcastle who travelled throughout the Pacific region collecting shells. It is the type specimen for this snail - the specimen that was used to first identify the species.||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Australia, North West Australia||type||||||||2
20833|NEWHM : T0146|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Malanta Island||type||||||||2
20834|NEWHM : T0147|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||||||||||||2
20838|NEWHM : T0151|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Bougainville and Stephen Island||type||||||||2
