irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
527414|NEWHM : 2015.H88|Natural Sciences|Invertebrate Zoology|Other Taxa||2|spirit specimen|brown shrimp|Spineless|Prawns are adapted for a life of swimming, with streamlined, elongated bodies and delicate legs, swimming along by paddling with swimmerets on the underside of their abdomens.|||||||||||||||1
527420|NEWHM : 2015.H94|Natural Sciences|Invertebrate Zoology|Other Taxa||1|spirit specimen|european lobster|Spineless|<P>Lobsters are predators, with strong, muscular bodies and three pairs of clawed legs for grasping prey. The first pair is usually the largest and can have a very powerful grip</P>|||||||||||||||1
527410|NEWHM : 2015.H84|Natural Sciences|Invertebrate Zoology|Other Taxa||1|spirit specimen|brown crab|Spineless|Crabs have robust bodies and powerful legs. They can move quickly to escape or capture prey, and burrow into sand or beneath rocks. Some can even swim.|||||||||||||||1
527418|NEWHM : 2015.H92|Natural Sciences|Invertebrate Zoology|Other Taxa||1|spirit specimen|common sun star|Spineless|Starfish move on many tiny, sucker tipped tube feet. During heavy waves they flatten against rocks, spreading out their arms and holding fast with all the suction their feet can provide.|||||||||||||||1
527419|NEWHM : 2015.H93|Natural Sciences|Invertebrate Zoology|Other Taxa||2|spirit specimen|beadlet anemone|Spineless|Soft bodied Beadlet Anemones, unlike most anemones, are resistant to drying out and can withstand exposure to the air at low tide.|||||||||||||||1
527412|NEWHM : 2015.H86|Natural Sciences|Invertebrate Zoology|Other Taxa||2|spirit specimen|masked crabs|Spineless|<P>The Masked Crab burrows into the seabed, until almost completely buried. Its long antennae are pressed together to form a breathing tube that pokes up through the surface. </P>|||||||||||||||1
527413|NEWHM : 2015.H87|Natural Sciences|Invertebrate Zoology|Other Taxa||1|spirit specimen|broad clawed porcelain crab|Spineless|Compact squat lobsters burrow into the seabed, using their long front limbs to grasp prey.&nbsp; Closely related Porcelain crabs have flattened bodies to hide into cracks and crevices amongst rocks.|||||||||||||||1
527411|NEWHM : 2015.H85|Natural Sciences|Invertebrate Zoology|Other Taxa||1|spirit specimen|shore crab|Spineless|Crabs have robust bodies and powerful legs. They can move quickly to escape or capture prey, and burrow into sand or beneath rocks. Some can even swim.|||||||||||||||1
527417|NEWHM : 2015.H91|Natural Sciences|Invertebrate Zoology|Other Taxa||1|spirit specimen|common sea star|Spineless|Starfish move on many tiny, sucker tipped tube feet. During heavy waves they flatten against rocks, spreading out their arms and holding fast with all the suction their feet can provide.|||||||||||||||1
202943|NEWHM : 2009.H628|Natural Sciences|Invertebrate Zoology|Other Taxa||1|invertebrate||||Serpulid Worm (?)|hydroides : : : :|||||||||||||1
