irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
126098|NEWHM : HANM.2.849|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|Mitridae||Mitridae.|||||||||||||||||||1
130609|NEWHM : HANM.3.359|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil mammal|auroch|Fossilised skull.|||||Auroch| : : : :|||||||||||||1
134031|NEWHM : HANM.3.3802|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil fish||Acentrophorus glaphyrus.|||||||||||||||||||1
134039|NEWHM : HANM.3.3812|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen|marl slate|Unidentified specimen.|||||||||||||||||||1
134041|NEWHM : HANM.3.3814|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134051|NEWHM : HANM.3.3824|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134052|NEWHM : HANM.3.3825|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134053|NEWHM : HANM.3.3826|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134054|NEWHM : HANM.3.3827|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134055|NEWHM : HANM.3.3828|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134056|NEWHM : HANM.3.3829|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134057|NEWHM : HANM.3.3830|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134058|NEWHM : HANM.3.3831|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134059|NEWHM : HANM.3.3832|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134060|NEWHM : HANM.3.3833|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134061|NEWHM : HANM.3.3834|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134062|NEWHM : HANM.3.3835|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134063|NEWHM : HANM.3.3836|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134064|NEWHM : HANM.3.3838|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134065|NEWHM : HANM.3.3839|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134066|NEWHM : HANM.3.3840|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134067|NEWHM : HANM.3.3841|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134068|NEWHM : HANM.3.3842|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134069|NEWHM : HANM.3.3843|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134070|NEWHM : HANM.3.3844|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134071|NEWHM : HANM.3.3845|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134072|NEWHM : HANM.3.3846|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134073|NEWHM : HANM.3.3847|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
134075|NEWHM : HANM.3.3849|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil||Algites sp.|||||||||||||||||||1
134076|NEWHM : HANM.3.3850|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil||Algites sp. (spores).|||||||||||||||||||1
134077|NEWHM : HANM.3.3851|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil||Algites sp.|||||||||||||||||||1
134559|NEWHM : HANM.3.4363|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||species unknown||Species unknown.|||||||||||||||||||1
