irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
73423|NEWHM : 2002.H4122|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|12|model||Models of a variety of Foraminifera, numbered .1 to .12.|||||, , Foraminifera|Foraminifera : : : :|||||||||||||1
73471|NEWHM : C00.30|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|1|cast, fossil||Fossil cast|||||, , Arthropoda Eurypterida Stylonurus powrei|Arthropoda & Eurypterida & Stylonurus powrei : : : : Arthropoda|||||||||||||3
73664|NEWHM : 1998.H3210|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|2|fossil brachiopod||Lamp Shell|||||Lamp Shell, orthothrix sp. and cythere sp., Animalia Invertebrata Brachiopoda|Animalia & Invertebrata & Brachiopoda : : : :||||no locality data||2.6|5.6|4.7|||||1
73679|NEWHM : 1998.H3222|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|13|fossil bivalve||Bivalve collected by Kirkby. Collected from Ryhope, Tyne and Wear (NE England)||Permian (Late)||Magnesian Limestone|parallelodon striatus (schlotheim), Bivalve|Animalia & Invertebrata & Mollusca & Bivalvia : : : Bivalvia : Mollusca||Kirkby||UK, England, Tyne and Wear (NE England), Ryhope|Field House Quarry|1.2|2.5|1.6|||||1
73690|NEWHM : 1998.H3231|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|21|fossil bivalve||Bivalve collected by Kirkby||Permian (Late)||Magnesian Limestone|leibea squamosa (sow.), Bivalve|Animalia & Invertebrata & Mollusca & Bivalvia : : : Bivalvia : Mollusca||Kirkby|||Coast Section 24|2|3.6|2.1|||||1
73780|NEWHM : 1998.H3303|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|127|fossil bivalve||Specimen of a fossil bivalve, Edmondia elongata, collected from the Ford Formation (reef facies) of Late Permian, Zechstein (Durham Province), EZ1 age from Tunstall Hill, Sunderland, Tyne and Wear (NE England). Collected by James Walter Kirkby.|This bivalve (meaning two valves or shells), lived on a reef, a community teeming with life, forming a ridge close to the coastline, in the Zechstein Sea, 250 million years ago. This Sea stretched from what is now north east England over to Northern Germany and Poland. Edmondia elongata lived in a shallow burrow in the seabed, and fed on tiny animals and plants in the sea water.|Permian (Late) & Zechstein (Durham Province) & EZ1 / 248 - 256 my||Ford Formation (reef facies)|edmondia elongata (howse), Bivalve|Animalia & Invertebrata & Mollusca & Bivalvia : : : Bivalvia : Mollusca||Kirkby, James Walter|1848|UK, England, Tyne and Wear (NE England), Sunderland, Tunstall Hill||1.3|2.7|1.6|||||1
73786|NEWHM : 1998.H3306|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|1|fossil bivalve||Specimen of a fossil bivalve, Wilkingia elegans, collected from the Ford Formation (reef facies) of Late Permian, Zechstein (Durham Province), EZ1 age from Tunstall Hill, Sunderland, Tyne and Wear (NE England). Collected by James Walter Kirkby.|Wilkingia elegans was a bivalve (two shells or valves) that lived on a reef (an under water ridge that was teeming with life) in the warm Zechstein Sea 250 million years ago. This bivalve would probably have lived with its shells partially buried in the seabed, feeding on tiny food particles in the water.|Permian (Late) & Zechstein (Durham Province) & EZ1 / 248 - 256 my||Ford Formation (reef facies)|wilkingia elegans (king), Bivalve Pholadomyoida Pholadomyacea Pholadomyida|Animalia & Invertebrata & Mollusca & Bivalvia & Pholadomyoida & Pholadomyacea & Pholadomyidae : : : :||Kirkby, James Walter||UK, England, Tyne and Wear (NE England), Sunderland, Tunstall Hill||1.4|3.3|1.9|||||1
73834|NEWHM : 1998.H3342|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|9|fossil brachiopod|Productids|Brachiopod, Lamp Shell||Permian (Late) & Zechstein (Durham Province)||Magnesian Limestone|Lamp Shell, , Brachiopoda|Brachiopoda : : : :|01/09/1998|||UK, England, Tyne and Wear (NE England), Sunderland, Humbledon Hill||2.5|3.2|2.5|||||1
73835|NEWHM : 1998.H3343|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|1|scaphopod|tusk shell|Scaphopod|||||, dentalium sp., Bryozoa|Bryozoa : : : : Bryozoa||||no locality data||2.1|6|3.6|||||1
73836|NEWHM : 1998.H3344|Natural Sciences|Palaeobiology|Invertebrate Palaeontology|11|fossil bryozoan||Sea Mat (or Moss Animal)||Permian (Late) & Zechstein (Durham Province)|||Sea Mat (or Moss Animal), fenestella retiformis, Animalia Invertebrata Bryozoa|Animalia & Invertebrata & Bryozoa : : : :||Kirkby||UK, England, Co. Durham (NE England), West Shildon|East Thickley Quarry|1.8|8|5.6|||||1
