irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
4613|NEWHM : G11.93|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Fossil plant|||||Spermatophyta Gymnospermae|Spermatophyta & Gymnospermae : : : : Spermatophyta||||no locality data|||||||||1
4413|NEWHM : G1.53|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Part of fertile spike with compressed joints or whorls of leaves or bracts., Fertile stems and fructification.|||||Plantae|Plantae : : : :||Hutton, W.||UK, England, Tyne and Wear, Jarrow|Jarrow Colliery||||||||1
99560|NEWHM : AGL.1181|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil slide|fossil|Fossil slide.|||||Deltasperma fouldenense (LONG)|& Deltasperma fouldenense (LONG) : : : :||Long, A. G.||Hutton Mill (above)|Whiteadder||||||||1
3784|NEWHM : 1999.H472|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Specimen of a fossil plant, collected from the Abbreviatum Zone = Intricatum Zone, Bracklesham Group, Bagshot Formation of Tertiary, Eocene age from Alum Bay, Isle of Wight, Hampshire (SE England).|This single willow-like leaf has been preserved as an impression in grey clay. These particular also often have fossils of the leaves of fig trees, laurels, fan palms, aralias and other subtropical plants. The clays were deposited (laid down) either in fresh water lagoons or an estuary along the coast of a warm shallow sea.|Tertiary & Eocene / 38 - 47 my (c)|Abbreviatum Zone = Intricatum Zone|Bracklesham Group & Bagshot Formation|Plantae|Plantae : : : :|20/01/2004|||UK, England, Hampshire (SE England), Isle of Wight, Alum Bay||1.6|8.4|4.2|||||1
3785|NEWHM : 2000.H810|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Horsetail|Specimen of a fossil Plant (Horsetail), Equisetites sp., collected from the Upper Lias, Toarcian of Early Jurassic age from Yorkshire (NE England). Part of stem.|Equisetum belongs to group of plants that reproduce using spores, called the Sphenopsids, They had stems with joints and long leaves that grew from the stem at these joints. The group was most common in the Carboniferous period (about 300 million years ago), but they were also quite common in the Jurassic period. Some species still survive today (the 'horsetail' plant, often cursed as a weed by gardeners). The specimen shows four joints of a stem that has been replaced by sandstone.|Jurassic (Early) / 180 - 189 my||Lias (Upper) & Toarcian|Plantae Pteridophyta Sphenopsida|Plantae & Pteridophyta & Sphenopsida : : : :||||UK, England, Yorkshire (NE England)|||||||||1
3786|NEWHM : 2002.H4111|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Fossil wood labelled 'UG 55/3 . of Portland'.|||||Plantae|Plantae : : : :|||||||||||||1
3787|NEWHM : 2002.H4123|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Orange-red leaves in rock.|||||Plantae|Plantae : : : :|||||||||||||1
3789|NEWHM : 2002.H4180|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Large portion of tree trunk.|||||Plantae Pteridophyta Lycopodiales|Plantae & Pteridophyta & Lycopodiales : : : :|||||||||||||1
3807|NEWHM : 2003.H1641|Natural Sciences|Palaeobiology|Palaeobotany|4|fossil plant|Angiosperm|Specimen of a fossil plant, Mimosites coloradensis, collected from unspecified rocks of Tertiary, Eocene age from Rio Blanco, Colarado, U.S.A.. Collected by David M. Lumsden.|"This single fossil leaf is from a flowering tree that lived in dry, arid areas. It has been preserved in fine-grained limey mud that was laid down in a lake. It is a relative of the popular house plant Mimosa that is also known as the ""sensitive plant"" because its leaves react to touch. The leaves shrivel up sideways and make the plant appear that it is dying."|Tertiary & Eocene / 33.7 - 54.8 my|||Plantae Spermatophyta Angiospermae|Plantae & Spermatophyta & Angiospermae : : : Angiospermae :||Lumsden, David M.||North America, USA, Colorado, Rio Blanco, Rio Blanco|||||||||1
3821|NEWHM : 2003.H2267|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Bennettitales|Specimen of a fossil plant, Ptilophyllum sp., collected from the Ravenscar Group (?) of Middle Jurassic, Aalenian - Bathonian age from Whitby, North Yorkshire (NE England). Collected by Emma Smith. Several well preserved fronds on bedding surface in sandstone.|Ptilophyllum is a seed-bearing plant that belongs to the extinct Bennettitales. This group of plants appeared in the Triassic period about 200 million years ago. They were very diverse and plentiful in the Jurassic period, and died out in the late Cretaceous about 70 million years ago. It was a shrub that grew to about 2m tall and had its leaves in tufts at the end of stems. The specimen shows several compound leaves (leaves made up of many leaflets) and lots of leaf fragments.|Jurassic (Middle) & Aalenian - Bathonian / 160 - 178 my||Ravenscar Group (?)|Plantae Spermatophyta Gymnospermae Benettitales|Plantae & Spermatophyta & Gymnospermae & Benettitales : : : :||Smith, Emma||UK, England, North Yorkshire (NE England), Whitby|||||||||1
