irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
99560|NEWHM : AGL.1181|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil slide|fossil|Fossil slide.|||||Deltasperma fouldenense (LONG)|& Deltasperma fouldenense (LONG) : : : :||Long, A. G.||Hutton Mill (above)|Whiteadder||||||||1
75992|NEWHM : 2003.H3|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Achanarella trewini||Devonian||Old Red Sandstone (Lower)|achanarella & trewini (newman 2002), Animalia & Chordata & Vertebrata & Pisces & Agnatha|Animalia & Chordata & Vertebrata & Pisces & Agnatha : : : :||Murray-Threipland, Major P. W.||UK, Scotland, Caithness (Scotland), Spittal (2km west north west of), Achanarras|Achanarras Quarry||37.2|20.9|2.2||||1
3784|NEWHM : 1999.H472|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant||Specimen of a fossil plant, collected from the Abbreviatum Zone = Intricatum Zone, Bracklesham Group, Bagshot Formation of Tertiary, Eocene age from Alum Bay, Isle of Wight, Hampshire (SE England).|This single willow-like leaf has been preserved as an impression in grey clay. These particular also often have fossils of the leaves of fig trees, laurels, fan palms, aralias and other subtropical plants. The clays were deposited (laid down) either in fresh water lagoons or an estuary along the coast of a warm shallow sea.|Tertiary & Eocene / 38 - 47 my (c)|Abbreviatum Zone = Intricatum Zone|Bracklesham Group & Bagshot Formation|Plantae|Plantae : : : :|20/01/2004|||UK, England, Hampshire (SE England), Isle of Wight, Alum Bay||1.6|8.4|4.2|||||1
3785|NEWHM : 2000.H810|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Horsetail|Specimen of a fossil Plant (Horsetail), Equisetites sp., collected from the Upper Lias, Toarcian of Early Jurassic age from Yorkshire (NE England). Part of stem.|Equisetum belongs to group of plants that reproduce using spores, called the Sphenopsids, They had stems with joints and long leaves that grew from the stem at these joints. The group was most common in the Carboniferous period (about 300 million years ago), but they were also quite common in the Jurassic period. Some species still survive today (the 'horsetail' plant, often cursed as a weed by gardeners). The specimen shows four joints of a stem that has been replaced by sandstone.|Jurassic (Early) / 180 - 189 my||Lias (Upper) & Toarcian|Plantae Pteridophyta Sphenopsida|Plantae & Pteridophyta & Sphenopsida : : : :||||UK, England, Yorkshire (NE England)|||||||||1
3807|NEWHM : 2003.H1641|Natural Sciences|Palaeobiology|Palaeobotany|4|fossil plant|Angiosperm|Specimen of a fossil plant, Mimosites coloradensis, collected from unspecified rocks of Tertiary, Eocene age from Rio Blanco, Colarado, U.S.A.. Collected by David M. Lumsden.|"This single fossil leaf is from a flowering tree that lived in dry, arid areas. It has been preserved in fine-grained limey mud that was laid down in a lake. It is a relative of the popular house plant Mimosa that is also known as the ""sensitive plant"" because its leaves react to touch. The leaves shrivel up sideways and make the plant appear that it is dying."|Tertiary & Eocene / 33.7 - 54.8 my|||Plantae Spermatophyta Angiospermae|Plantae & Spermatophyta & Angiospermae : : : Angiospermae :||Lumsden, David M.||North America, USA, Colorado, Rio Blanco, Rio Blanco|||||||||1
3821|NEWHM : 2003.H2267|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Bennettitales|Specimen of a fossil plant, Ptilophyllum sp., collected from the Ravenscar Group (?) of Middle Jurassic, Aalenian - Bathonian age from Whitby, North Yorkshire (NE England). Collected by Emma Smith. Several well preserved fronds on bedding surface in sandstone.|Ptilophyllum is a seed-bearing plant that belongs to the extinct Bennettitales. This group of plants appeared in the Triassic period about 200 million years ago. They were very diverse and plentiful in the Jurassic period, and died out in the late Cretaceous about 70 million years ago. It was a shrub that grew to about 2m tall and had its leaves in tufts at the end of stems. The specimen shows several compound leaves (leaves made up of many leaflets) and lots of leaf fragments.|Jurassic (Middle) & Aalenian - Bathonian / 160 - 178 my||Ravenscar Group (?)|Plantae Spermatophyta Gymnospermae Benettitales|Plantae & Spermatophyta & Gymnospermae & Benettitales : : : :||Smith, Emma||UK, England, North Yorkshire (NE England), Whitby|||||||||1
3822|NEWHM : 2003.H2268|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Fern|Specimen of a fossil plant (fern), unidentified, collected from the Ravenscar Group (?) of Jurassic (?), Aalenian - Bathonian (?) age. Collected by Emma Smith. Well-preserved frond with pinnae up to 60mm on bedding surface in sandstone.|Zamites belongs to an extinct group of plants known as the Bennettitales that were common worldwide in the Jurassic peiod but died out in the late Cretaceous. It was a shrub that grew to about 2 metres tall and its leaves were arranged in crowns at the end of stems. The specimen shows some of its compound leaves (leaves made up of many leaflets).|Jurassic (?) & Aalenian - Bathonian (?) / 160 - 178 my (?)||Ravenscar Group (?)|Plantae|Plantae : : : :||Smith, Emma||[irn: 1108]|||||||||1
3826|NEWHM : 2003.H2272|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Root Stock|Specimen of a fossil plant (root stock), Stigmaria sp., collected from unspecified rocks of Carboniferous (?), Silesian (?) age. Part of a root cast, about 100 mm in diameter, preserved in sandstone.||Carboniferous (?) & Silesian (?) / 290 - 327Ma for Silesian, from Woodcock & Strachan 2000 Fig 1.3|||Plantae Pteridophyta Lycopsida|Plantae & Pteridophyta & Lycopsida : : : :||no data||[irn: 1108]|||||||||1
3827|NEWHM : 2003.H2273|Natural Sciences|Palaeobiology|Palaeobotany|1|fossil plant|Horsetail|Specimen of a fossil Plant (Horsetail), Calamites sp., collected from the Ravenscar Group (?) of Middle (?) Jurassic, Aalenian - Bathonian age. Internal cast of stem, 30 mm diameter, in sandstone.|Equisetum belongs to group of plants that reproduce using spores, called the Sphenopsids, They had stems with joints and long leaves that grew from the stem at these joints. The group was most common in the Carboniferous period (about 300 million years ago), but they were also quite common in the Jurassic period. Some species still survive today (the 'horsetail' plant, often cursed as a weed by gardeners). This specimen shows three joints of a stem that has been replaced by sandstone.|Jurassic (Middle ?) & Aalenian - Bathonian / 160 - 178 my (?)||Ravenscar Group (?)|Plantae Pteridophyta Sphenopsida|Plantae & Pteridophyta & Sphenopsida : : : :||no data||[irn: 1108]|||||||||1
3832|NEWHM : 2003.H2278|Natural Sciences|Palaeobiology|Palaeobotany|3|fossil plant|Wood|Specimen of a fossil plant (wood), unidentified, collected from the Upper Lias, Whitby Mudstone (or Blea Wyke Sandstone ?) of Early Jurassic, Toarcian age from Kirkleatham, Cleveland (NE England). Collected by W. Cockburn, 25th March 1985. Three pieces of mineralised wood in sandstone.|Fossil wood is often moved by rivers from land into the sea where it becomes waterlogged, sinks to the seabed and is buried in the sand or mud on the sea floor. The wood itself is often replaced, cell-by-cell, by minerals flushed through the wood in water as the sand or mud slowly turns to rock. This process often preserves the original structure and cells of the wood. You can easily see the grain and different layers of wood in this fossil wood fragment.|Jurassic (Early) & Toarcian / 178 - 183.6 my||Lias (Upper) & Whitby Mudstone (or Blea Wyke Sandstone ?)|Plantae|Plantae : : : :||Cockburn, W.|25/03/1985|UK, England, Cleveland (NE England), Kirkleatham|||||||||1
