irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
75992|NEWHM : 2003.H3|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Achanarella trewini||Devonian||Old Red Sandstone (Lower)|achanarella & trewini (newman 2002), Animalia & Chordata & Vertebrata & Pisces & Agnatha|Animalia & Chordata & Vertebrata & Pisces & Agnatha : : : :||Murray-Threipland, Major P. W.||UK, Scotland, Caithness (Scotland), Spittal (2km west north west of), Achanarras|Achanarras Quarry||37.2|20.9|2.2||||1
73550|NEWHM : 1996.H14|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil mammal|Red Deer|Specimen of a fossil antler, a Red Deer, Cervus elaphus scoticus, collected from unspecified rocks of Tertiary (or Quaternary) age. Antler, right (5 points).|This antler of a red deer is probably only a few hundred years old and not a true fossil. However, red deer antlers are sometimes found in peat beds that formed about 7500 years ago as the climate warmed up after the last glaciation. They migrated into the glaciated areas as the vegetation grew. The horns that are cast off annually are often the only remains that are found of the deer.|Quaternary & Holocene & Flandrian / 100 - 8,000 years|||Red Deer, Cervus elaphus, Cervus elaphus scoticus|Cervus elaphus scoticus : : : Mammalia : Chordata||||no locality data|||55||||||2
73574|NEWHM : 1998.H3136|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Permian (Late) & Zechstein (Durham Province)||Marl Slate|palaeoniscum & freieslebeni, Actinopterygii & Palaeonisciformes (After Romer)|Actinopterygii & Palaeonisciformes (After Romer) : : : : Chordata||Abbs (?)||UK, England, Tyne and Wear (NE England), Sunderland, Fulwell|Fulwell Shaft (?)|2.1|24.8|19.5|||||1
73594|NEWHM : 1998.H3155|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Permian||Marl Slate|palaeoniscum & freieslebeni, Actinopterygii & Palaeonisciformes (After Romer)|Actinopterygii & Palaeonisciformes (After Romer) : : : : Chordata||||no locality data||0.9|12.4|7.4|||||1
73922|NEWHM : 1998.H3701|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Shark||Permian (Late) & Zechstein (Durham Province)|||Shark, palaeoniscid, Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Turner, S.||UK, England, Co. Durham (NE England), Bowburn|Quarrington Hill Quarry|2.9|10.5|6.7|||||1
74749|NEWHM : 1998.H4457|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil reptile||Specimen of a fossil reptile (ichthyosaur), Ichthyosaurus campylodon, collected from the Greensand (?) of Early Cretaceous, Aptian - Albian age.|This jaw fragment is from a marine reptile known as an Ichthyosaur which, grew up to 3m long and looked like a dolphin with a long snout. Its cone-shaped teeth fit closely together and have distinctive vertical grooves. Ichthyosaurs were predators and scavengers that fed mainly on fish, ammonites and belemnites. They were unusual reptiles because they gave birth to live young (most reptiles lay eggs on land). This may have been an adaptation to their marine habitat.|Cretaceous (Early) & Aptian - Albian / 99 - 121 my||Greensand Group (?)|Ichthyosaur, Ichthyosaurus campylodon, Ichthyosaurus campylodon|Ichthyosaurus campylodon : : Ichthyosauria : Reptilia : Chordata||||no locality data||2.9|6.5|3.1|||||1
74810|NEWHM : 1998.H4514|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Shark|||||Shark, palaeoniscid, Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||||no locality data||1.4|11|7|||||1
75891|NEWHM : 1999.H1801|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Achanarella trewini  Holotype.||Devonian||Old Red Sandstone (Middle)|achanarella & sp., Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||||UK, Scotland, Caithness (Scotland), Spittal (2km west north west of), Achanarras|Achanarras Quarry||||||||1
75894|NEWHM : 2000.H845|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Skull. Kyrinion martilli (Clack)  Holotype||Carboniferous & Westphalian A||Coal Measures Group|kyrinion & martilli (clack), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Loxommatoidea &|Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Loxommatoidea & Loxommatidae : : : :||Martill, Dr Dave|1993|UK, England, Tyne and Wear (NE England), Whitley Bay|||||||||3
75974|NEWHM : 2002.H201|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|2|fossil fish||Specimen of a fossil fish, Platysomus striatus, collected from the Marl Slate of Late Permian, Zechstein (Durham Province), EZ1 age from Thrislington Quarry, Ferryhill, Co Durham (NE England). Collected by S.G. McLean, 2001.|Platysomus striatus was a deep-bodied fish that lived in the Zechstein Sea 250 million years ago. It was probably a slow swimmer, and may have lived among seaweed and small reefs near the shore. Platysomus had blunt cone-shaped teeth, ideal for crushing and eating shellfish. The lower part of the fish is missing from this fossil, but it is very rare to find complete fossils of this fish.|Permian (Late) & Zechstein (Durham Province) & EZ1 / 248 - 256 my||Marl Slate|platysomus & striatus (agassiz), Actinopterygii & Palaeonisciformes (After Romer)|Actinopterygii & Palaeonisciformes (After Romer) : : : : Chordata||McLean, Steve|2001|UK, England, Co. Durham (NE England), Ferryhill, Thrislington Gap|||||||||1
75978|NEWHM : 2002.H4124|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil reptile||Backbone.|||||Ichthyosaur, Ichthyosaurus, Animalia & Chordata & Vertebrata & Reptilia & Ichthyosauria|Animalia & Chordata & Vertebrata & Reptilia & Ichthyosauria : : Ichthyosauria : Reptilia : Chordata||||no locality data|||||||||1
