irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
136090|NEWHM : HANM.4.1581|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian|Hellbender||Amphibian? (CUSTOMS)||Hellbender| : Cryptobranchidae : Caudata : Amphibia : Chordata|||||||||||||||||1
201691|NEWHM : S0490|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian skeleton|Salamander||Skeleton of a Salamander (end of tail missing).||Giant Salamander, Japanese Giant Salamander|Andrias japonicus : Cryptobranchidae : Caudata : Amphibia : Chordata|||Asia, Japan, Nagasaki||||||||36|cm|||||8
201693|NEWHM : S0492|Natural Sciences|Vertebrate Zoology|Amphibians|some toes missing or incomplete|1|amphibian skeleton|Frog||Skeleton of a Frog.|British Frogs' skeletons can be distinguished from those of Toads by their longer legs and the shape of the sacral diapophysis (the vertebra furthest from the head), both of which are visible in this dorsal view. See S0495|Common Frog|Rana temporaria : Ranidae : Anura : Amphibia : Chordata|Langhrin, W.||UK, England, Cornwall (SW England), Polperro||||||||7|cm|||||2
201696|NEWHM : S0495|Natural Sciences|Vertebrate Zoology|Amphibians||1|vertebrate|Toad||Skeleton of a Toad with right foot missing.|The skeletons of British Toads can be distinguished from those of Frogs by their shorter legs and the shape of the pelvic diapophysis (the vertebra furthest from the head), both of which are visible in this dorsal view.|Toad|Chordata & Amphibia & Anura & Bufonidae : : : : Chordata|Langhrin, W.||UK, England, Cornwall, Polperro||||||||7.2|cm|||||1
201697|NEWHM : S0496|Natural Sciences|Vertebrate Zoology|Amphibians||1|vertebrate|Toad||Skeleton of a Toad.||Toad|Chordata & Amphibia & Anura & Bufonidae : : : : Chordata|||||||||||||||||1
202913|NEWHM : 2002.H4171|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian spirit specimen|Olm||Olm preserved in spirit.|This is an Olm preserved in 'spirit' (a mixture of ethanol and methanol). Olms are amphibians that live in pools in caves, and are found in Yugoslavia. Spirit preserves of the soft parts of an animal which would otherwise shrivel away, but the specimens often quickly lose their colour.|Olm, Proteus|Proteus anguinus : Proteidae : Caudata : Amphibia : Chordata|||Europe, Carniola|||||spirit|||||||||1
202941|NEWHM : 2009.H626|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian spirit specimen|Toad||Toad preserved in spirit.||Toad| : : : :||||||||spirit|||||||||1
202989|NEWHM : 2009.H674|Natural Sciences|Vertebrate Zoology|Amphibians||3|amphibian spirit specimen|Warty Newt||Warty newt (3) preserved in spirit.||Warty Newt, Great Crested Newt|Triton cristatus : Salamandridae : Caudata : Amphibia : Chordata||||||||spirit|||||||||1
202993|NEWHM : 2009.H678|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian spirit specimen|Toad (?)||Unidentified Frog or Toad preserved in spirit.||Frog (?), Toad (?)| : : Anura : Amphibia : Chordata||||||||spirit|||||||||1
203108|NEWHM : 2009.H793|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian spirit specimen|Unidentified specimen||Unidentified amphibian preserved in spirit.||Unidentified Amphibian| : : : Amphibia : Chordata||||||||spirit|||||||||1
203128|NEWHM : 2009.H813|Natural Sciences|Vertebrate Zoology|Amphibians||1|amphibian spirit specimen|Tadpole||Tadpole preserved in spirit.||Tadpole| : : : :||||||||spirit|||||||||1
203161|NEWHM : 2009.H846|Natural Sciences|Vertebrate Zoology|Amphibians||2|amphibian spirit specimen|Frog||Unidentified Frog (2) preserved in spirit.||Unidentified Frog|Anura : : Anura : Amphibia : Chordata||||||||spirit|||||||||1
203376|NEWHM : 2009.H1061|Natural Sciences|Vertebrate Zoology|Amphibians|||amphibian spirit specimen|Frog||Frog preserved in spirit.||Unidentified Frog|Anura : : Anura : Amphibia : Chordata||||||||spirit|||||||||1
