irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
40191|NEWHM : B109.55|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Little Spotted Kiwi||Non palearctic skin of a Little Spotted Kiwi||Little Spotted Kiwi, Little Grey Kiwi, Kiwi|Apteryx owenii : Apterygidae : Apterygiformes : Aves : Chordata|Wythes, E. J.||Australasia, New Zealand|||||non palearctic skin|||||||||1
27706|NEWHM : 2000.H1408|Natural Sciences|Vertebrate Zoology|Birds|glass missing|1|bird mount|Little Spotted Kiwi||Mount of a Little Spotted Kiwi||Little Spotted Kiwi, Little Grey Kiwi, Kiwi|Apteryx owenii : Apterygidae : Apterygiformes : Aves : Chordata||||||adult||mount|||||||||6
27791|NEWHM : 2001.H22|Natural Sciences|Vertebrate Zoology|Birds||2|bone|||Bones belonging to an adult Great Auk.||Great Auk|Pinguinus impennis : Alcidae : Charadriiformes : Aves : Chordata||||||||skin|||||||||2
27771|NEWHM : 2000.H1473|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Kakapo||Mount of a Kakapo||Kakapo, Owl Parrot|Strigops habroptilus : Strigopidae : Psittaciformes : Aves : Chordata||||||||mount & case|||||||||1
27328|NEWHM : 2000.H992|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Raven||Mount of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata||||||adult||mount|||||||||5
29092|NEWHM : 2006.H1500|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Raven||Mount of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata||||||||mount|||||||||1
28466|NEWHM : 2006.H770|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Raven||Mount of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata||||||||mount|||||||||1
29093|NEWHM : 2006.H1501|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Raven||Mount of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata||||||||mount|||||||||1
32239|NEWHM : B028.77|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Fan-tailed Raven (?)||Skin of a Fan-tailed Ravenn (?)||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Tristram, H. B.|1864-02-18|Israel, Jerusalem||1|adult||skin|||||||||1
36785|NEWHM : B074.24|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Spangled Drongo||Skin of a Spangled Drongo||Spangled Drongo|Dicrurus hottentottus : Dicruridae : Passeriformes : Aves : Chordata|Maclachlan, Dr|1881|Australasia, Australia|||||skin|||||||||1
32234|NEWHM : B028.72|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Raven||Skin of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Dinesen, G. B.|02/10/1911|Europe, Iceland, Coast Of North Iceland||1|adult||skin|||||||||1
32231|NEWHM : B028.69|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Raven||Skin of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Riggenbach, F. W.|10/02/1905|Morocco, Mogador, St. Osil, Shiadma 7|1||adult||skin|||||||||1
27781|NEWHM : 2000.H1484|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Huia||Mount of a Huia, extinct species.||Huia|Callaeidae : : : Aves : Chordata|||||1|||mount & case|||||||||1
32232|NEWHM : B028.70|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Raven||Skin of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Stevens, H.|27/09/1912|Europe, Iceland, North Iceland Mountains|1||adult||skin|Stevens, H.||||||||1
27780|NEWHM : 2000.H1483|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Huia||Mount of a Huia, extinct species.||Huia|Callaeidae : : : Aves : Chordata||||1||||mount & case|||||||||1
27778|NEWHM : 2000.H1480|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Orange-wattled Kokako||Mounted of an Orange-wattled Kokako, a now extinct species of bird.|Yesterday a Gal?pagos tortoise called Lonesome George died. With him died his entire race. George was the last of his kind - the last tortoise from Pinta Island. The bird below is an orange wattled Kokako from our collection. Once found on New Zealand's South Island, it's now extinct. Kokakos on the North Island survive, but their wattles are blue, not orange. The species survives, but the orange wattled birds are gone - and like Lonesome George, we'll never see their like again. Here's some footage of poor old George; http://www.youtube.com/watch?v=CzRLt4ivtVk&feature=related|Kokako, South Island Kokako, Orange-wattled Crow|Callaeas cinerea cinerea : Callaeidae : Passeriformes : Aves : Chordata||||||||mount & case|||||||||5
27783|NEWHM : 2000.H1486|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Huia|The Hancocks: Scientists in the Studio|Mount of a Huia, extinct species.||Huia|Callaeidae : : : Aves : Chordata||||1||||mount & case|||||||||3
26455|NEWHM : 1995.H2006|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Common Lora||Skin of a Common Lora||Common Lora|Passeriformes & Aegithinidae : : : Aves : Chordata||||1||adult||skin|||||||||1
