irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
140951|NEWHM : HANM.6.811|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|bird mount|raven||Raven.||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|||||||||||||||||1
140949|NEWHM : HANM.6.809|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|skin|||Unidentified.||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|||||||||||||||||1
143409|NEWHM : HANM.1094|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|bird mount|crow||Blue wattled crow (species under threat).||Kokako, North Island Kokako, Blue-wattled Crow|Callaeas cinerea wilsoni : Callaeidae : Pesseriformes : Aves : Chordata|||||||||||||||||1
120259|NEWHM : B048.43|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|vertebrate|||Paddy field warbler.||||||||||||||||||||1
125588|NEWHM : HANM.2.337|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|kudu|||Kudu.||||||||||||||||||||1
125590|NEWHM : HANM.2.341|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|vertebrate|||Upper skull and horns.||Unidentified species| : : : :|||||||||||||||||1
127586|NEWHM : HANM.2.2337|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|vertebrate|||Velutina laevigata.||||||||||||||||||||1
130981|NEWHM : HANM.3.732|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers|||vertebrate|||Eulimidae (20).||Unidentified species| : : : :|||||||||||||||||1
131105|NEWHM : HANM.3.856|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|mammal|||Weasel.||||||||||||||||||||1
131106|NEWHM : HANM.3.857|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers|||vertebrate|||Tusk.||Elephant| : : : :|||||||||||||||||1
131107|NEWHM : HANM.3.858|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers|||vertebrate|||Tusk.||Elephant| : : : :|||||||||||||||||1
131108|NEWHM : HANM.3.859|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers|||small crocodile|||Small crocodile.||||||||||||||||||||1
131109|NEWHM : HANM.3.860|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|mammal|||Ocelot.||||||||||||||||||||1
131110|NEWHM : HANM.3.861|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers|||lizard|||Lizard.||||||||||||||||||||1
131111|NEWHM : HANM.3.862|Natural Sciences|Vertebrate Zoology|GNM: Hancock Temporary Numbers||1|turtle|||Turtle.||||||||||||||||||||12
