irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
188407|NEWHM : M0937|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|Wombat|A History of the North East in 100 Objects|Wombat mounted.|"<P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><B style=""mso-bidi-font-weight: normal""><FONT face=Arial>37.<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></FONT></B></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial><B style=""mso-bidi-font-weight: normal"">Wombat, Vombatus ursinus, 1798</B><SPAN style=""mso-tab-count: 1"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>This is the first wombat to arrive in <?xml:namespace prefix = st1 ns = ""urn:schemas-microsoft-com:office:smarttags"" /><st1:place w:st=""on"">Europe</st1:place>. It was sent to <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> by Captain John Hunter, the Governor of New South Wales, in 1798. Wombats were first discovered by non-natives when the crew of the salvage ship <I style=""mso-bidi-font-style: normal"">Francis</I> visited <st1:country-region w:st=""on"">Australia</st1:country-region>?s <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Clarke</st1:PlaceName> <st1:PlaceType w:st=""on"">Island</st1:PlaceType></st1:place> following the wrecking of the ship <I style=""mso-bidi-font-style: normal"">Sydney Cove</I> in 1797. On their third and final salvage trip the crew collected one specimen of this unusual marsupial.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><o:p><FONT face=Arial>&nbsp;</FONT></o:p></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>The late 1700s, when the wombat arrived, heralded an exciting time for the study of natural sciences. <st1:place w:st=""on"">Western Europe</st1:place> was a centre of scientific endeavour, promoting global exploration leading to the discovery of new flora and fauna. The arrival of the wombat in <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> helped our region to play a pivotal role in these discoveries, fostering and facilitating the study and understanding of novel plant and animal species.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Donated by Captain John Hunter (Governor of <st1:place w:st=""on""><st1:State w:st=""on"">New South Wales</st1:State></st1:place>), 1798</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Mounted by Richard Wingate, 1827</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><SPAN style=""mso-tab-count: 5""><FONT face=Arial>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>On display at the <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Great</st1:PlaceName> <st1:PlaceName w:st=""on"">North</st1:PlaceName> <st1:PlaceType w:st=""on"">Museum</st1:PlaceType></st1:place>: Hancock, Explore! gallery (Collecting and Collectors case), Tyne & Wear Archives & Museums</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Website <SPAN style=""mso-bidi-font-family: Arial""><A href=""http://webmail.twmuseums.org.uk/Exchange/bill.griffiths/Inbox/100%20objects%20labels.EML/Labels%20for%20A%20History%20of%20the%20North%20East%20in%20100%20Objects,%20venue%20entries.doc/C58EA28C-18C0-4a97-9AF2-036E93DDAFB3/www.greatnorthmuseum.org.uk"">www.greatnorthmuseum.org.uk</A></SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Image caption ? Tyne & Wear Archives & Museums</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><B style=""mso-bidi-font-weight: normal""><FONT face=Arial>37.<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></FONT></B></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial><B style=""mso-bidi-font-weight: normal"">Wombat, Vombatus ursinus, 1798</B><SPAN style=""mso-tab-count: 1"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>This is the first wombat to arrive in <?xml:namespace prefix = st1 ns = ""urn:schemas-microsoft-com:office:smarttags"" /><st1:place w:st=""on"">Europe</st1:place>. It was sent to <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> by Captain John Hunter, the Governor of New South Wales, in 1798. Wombats were first discovered by non-natives when the crew of the salvage ship <I style=""mso-bidi-font-style: normal"">Francis</I> visited <st1:country-region w:st=""on"">Australia</st1:country-region>?s <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Clarke</st1:PlaceName> <st1:PlaceType w:st=""on"">Island</st1:PlaceType></st1:place> following the wrecking of the ship <I style=""mso-bidi-font-style: normal"">Sydney Cove</I> in 1797. On their third and final salvage trip the crew collected one specimen of this unusual marsupial.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><o:p><FONT face=Arial>&nbsp;</FONT></o:p></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>The late 1700s, when the wombat arrived, heralded an exciting time for the study of natural sciences. <st1:place w:st=""on"">Western Europe</st1:place> was a centre of scientific endeavour, promoting global exploration leading to the discovery of new flora and fauna. The arrival of the wombat in <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> helped our region to play a pivotal role in these discoveries, fostering and facilitating the study and understanding of novel plant and animal species.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Donated by Captain John Hunter (Governor of <st1:place w:st=""on""><st1:State w:st=""on"">New South Wales</st1:State></st1:place>), 1798</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Mounted by Richard Wingate, 1827</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><SPAN style=""mso-tab-count: 5""><FONT face=Arial>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>On display at the <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Great</st1:PlaceName> <st1:PlaceName w:st=""on"">North</st1:PlaceName> <st1:PlaceType w:st=""on"">Museum</st1:PlaceType></st1:place>: Hancock, Explore! gallery (Collecting and Collectors case), Tyne & Wear Archives & Museums</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Website <SPAN style=""mso-bidi-font-family: Arial""><A href=""http://webmail.twmuseums.org.uk/Exchange/bill.griffiths/Inbox/100%20objects%20labels.EML/Labels%20for%20A%20History%20of%20the%20North%20East%20in%20100%20Objects,%20venue%20entries.doc/C58EA28C-18C0-4a97-9AF2-036E93DDAFB3/www.greatnorthmuseum.org.uk"">www.greatnorthmuseum.org.uk</A></SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Image caption ? Tyne & Wear Archives & Museums</FONT></P>"|Wombat|Chordata & Mammalia & Diprotodonta & Vombatidae : : : : Chordata|||Australia, Bass Strait (Island in)||1|mature||mount|||||||||4
143360|NEWHM : HANM.1038|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|Scottish wildcat||Scottish wildcat in a slightly hunched standing position. Head turned to the left.||Wild Cat|Felis silvestris : Felidae : Carnivora : Mammalia : Chordata|||||||||||||||||3
135689|NEWHM : HANM.4.1178|Natural Sciences|Vertebrate Zoology|Mammals|||mammal mount|Rocky Mountain Goat||Rocky Mountain Goat||Rocky Mountain Goat|Chordata & Mammalia & & Bovidae : : : : Chordata|||||||||||||||||1
135708|NEWHM : HANM.4.1199|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|Zebra||Mount of a Zebra||Common Zebra|Chordata & Mammalia & & Equidae : : : : Chordata|||||||||||||||||22
136098|NEWHM : HANM.4.1589|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|North American Beaver||||North American Beaver|Chordata & Mammalia & Rodentia & Castoridae : : : : Chordata|||||||||||||||||1
136119|NEWHM : HANM.4.1610|Natural Sciences|Vertebrate Zoology|Mammals|||mammal mount|Muskrat||Mount of a muskrat. May instead be a coypu - needs confirmation.||Muskrat|Chordata & Mammalia & & Cricetidae : : : : Chordata|||||||||||||||||1
136127|NEWHM : HANM.4.1618|Natural Sciences|Vertebrate Zoology|Mammals|||mammal mount|Porcupine||Porcupine.||Porcupine|Chordata & Mammalia & Rodentia & Hystricidae & Hystrix cristata : : : : Chordata|||||||||||||||||11
136141|NEWHM : HANM.4.1633|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|badger||Badger.||Badger|Chordata & Mammalia & Carnivora & Mustelidae : : : : Chordata|||||||||||||||||5
136188|NEWHM : HANM.4.1691|Natural Sciences|Vertebrate Zoology|Mammals|||mammal mount|Striped skunk||Mount of a striped skunk||Striped Skunk|Chordata & Mammalia & Carnivora & Mustelidae & Mephitis mephitis : : : : Chordata|||||||||||||||||6
143334|NEWHM : HANM.1011|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|Arctic fox||Arctic fox.||Arctic Fox|Chordata & Mammalia & Carnivora & Canidae : : : : Chordata|||||||||||||||||7
