irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
32239|NEWHM : B028.77|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Fan-tailed Raven (?)||Skin of a Fan-tailed Ravenn (?)||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Tristram, H. B.|1864-02-18|Israel, Jerusalem||1|adult||skin|||||||||1
32234|NEWHM : B028.72|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Raven||Skin of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Dinesen, G. B.|02/10/1911|Europe, Iceland, Coast Of North Iceland||1|adult||skin|||||||||1
188407|NEWHM : M0937|Natural Sciences|Vertebrate Zoology|Mammals||1|mammal mount|Wombat|A History of the North East in 100 Objects|Wombat mounted.|"<P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><B style=""mso-bidi-font-weight: normal""><FONT face=Arial>37.<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></FONT></B></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial><B style=""mso-bidi-font-weight: normal"">Wombat, Vombatus ursinus, 1798</B><SPAN style=""mso-tab-count: 1"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>This is the first wombat to arrive in <?xml:namespace prefix = st1 ns = ""urn:schemas-microsoft-com:office:smarttags"" /><st1:place w:st=""on"">Europe</st1:place>. It was sent to <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> by Captain John Hunter, the Governor of New South Wales, in 1798. Wombats were first discovered by non-natives when the crew of the salvage ship <I style=""mso-bidi-font-style: normal"">Francis</I> visited <st1:country-region w:st=""on"">Australia</st1:country-region>?s <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Clarke</st1:PlaceName> <st1:PlaceType w:st=""on"">Island</st1:PlaceType></st1:place> following the wrecking of the ship <I style=""mso-bidi-font-style: normal"">Sydney Cove</I> in 1797. On their third and final salvage trip the crew collected one specimen of this unusual marsupial.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><o:p><FONT face=Arial>&nbsp;</FONT></o:p></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>The late 1700s, when the wombat arrived, heralded an exciting time for the study of natural sciences. <st1:place w:st=""on"">Western Europe</st1:place> was a centre of scientific endeavour, promoting global exploration leading to the discovery of new flora and fauna. The arrival of the wombat in <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> helped our region to play a pivotal role in these discoveries, fostering and facilitating the study and understanding of novel plant and animal species.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Donated by Captain John Hunter (Governor of <st1:place w:st=""on""><st1:State w:st=""on"">New South Wales</st1:State></st1:place>), 1798</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Mounted by Richard Wingate, 1827</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><SPAN style=""mso-tab-count: 5""><FONT face=Arial>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>On display at the <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Great</st1:PlaceName> <st1:PlaceName w:st=""on"">North</st1:PlaceName> <st1:PlaceType w:st=""on"">Museum</st1:PlaceType></st1:place>: Hancock, Explore! gallery (Collecting and Collectors case), Tyne & Wear Archives & Museums</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Website <SPAN style=""mso-bidi-font-family: Arial""><A href=""http://webmail.twmuseums.org.uk/Exchange/bill.griffiths/Inbox/100%20objects%20labels.EML/Labels%20for%20A%20History%20of%20the%20North%20East%20in%20100%20Objects,%20venue%20entries.doc/C58EA28C-18C0-4a97-9AF2-036E93DDAFB3/www.greatnorthmuseum.org.uk"">www.greatnorthmuseum.org.uk</A></SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Image caption ? Tyne & Wear Archives & Museums</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><B style=""mso-bidi-font-weight: normal""><FONT face=Arial>37.<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></FONT></B></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial><B style=""mso-bidi-font-weight: normal"">Wombat, Vombatus ursinus, 1798</B><SPAN style=""mso-tab-count: 1"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>This is the first wombat to arrive in <?xml:namespace prefix = st1 ns = ""urn:schemas-microsoft-com:office:smarttags"" /><st1:place w:st=""on"">Europe</st1:place>. It was sent to <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> by Captain John Hunter, the Governor of New South Wales, in 1798. Wombats were first discovered by non-natives when the crew of the salvage ship <I style=""mso-bidi-font-style: normal"">Francis</I> visited <st1:country-region w:st=""on"">Australia</st1:country-region>?s <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Clarke</st1:PlaceName> <st1:PlaceType w:st=""on"">Island</st1:PlaceType></st1:place> following the wrecking of the ship <I style=""mso-bidi-font-style: normal"">Sydney Cove</I> in 1797. On their third and final salvage trip the crew collected one specimen of this unusual marsupial.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><o:p><FONT face=Arial>&nbsp;</FONT></o:p></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt; mso-layout-grid-align: none"" class=MsoNormal><SPAN style=""mso-bidi-font-family: Arial; mso-ansi-language: EN-US"" lang=EN-US><FONT face=Arial>The late 1700s, when the wombat arrived, heralded an exciting time for the study of natural sciences. <st1:place w:st=""on"">Western Europe</st1:place> was a centre of scientific endeavour, promoting global exploration leading to the discovery of new flora and fauna. The arrival of the wombat in <st1:place w:st=""on""><st1:City w:st=""on"">Newcastle</st1:City></st1:place> helped our region to play a pivotal role in these discoveries, fostering and facilitating the study and understanding of novel plant and animal species.<o:p></o:p></FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Donated by Captain John Hunter (Governor of <st1:place w:st=""on""><st1:State w:st=""on"">New South Wales</st1:State></st1:place>), 1798</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Mounted by Richard Wingate, 1827</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><SPAN style=""mso-tab-count: 5""><FONT face=Arial>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </FONT></SPAN></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>On display at the <st1:place w:st=""on""><st1:PlaceName w:st=""on"">Great</st1:PlaceName> <st1:PlaceName w:st=""on"">North</st1:PlaceName> <st1:PlaceType w:st=""on"">Museum</st1:PlaceType></st1:place>: Hancock, Explore! gallery (Collecting and Collectors case), Tyne & Wear Archives & Museums</FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Website <SPAN style=""mso-bidi-font-family: Arial""><A href=""http://webmail.twmuseums.org.uk/Exchange/bill.griffiths/Inbox/100%20objects%20labels.EML/Labels%20for%20A%20History%20of%20the%20North%20East%20in%20100%20Objects,%20venue%20entries.doc/C58EA28C-18C0-4a97-9AF2-036E93DDAFB3/www.greatnorthmuseum.org.uk"">www.greatnorthmuseum.org.uk</A></SPAN></FONT></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><o:p><FONT face=Arial>&nbsp;</FONT></o:p></P>, <P style=""MARGIN: 0cm 0cm 0pt"" class=MsoNormal><FONT face=Arial>Image caption ? Tyne & Wear Archives & Museums</FONT></P>"|Wombat|Chordata & Mammalia & Diprotodonta & Vombatidae : : : : Chordata|||Australia, Bass Strait (Island in)||1|mature||mount|||||||||4
32231|NEWHM : B028.69|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Raven||Skin of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Riggenbach, F. W.|10/02/1905|Morocco, Mogador, St. Osil, Shiadma 7|1||adult||skin|||||||||1
32232|NEWHM : B028.70|Natural Sciences|Vertebrate Zoology|Birds||1|bird skin|Raven||Skin of a Raven||Common Raven, Northern Raven, Raven|Corvus corax : Corvidae : Passeriformes : Aves : Chordata|Stevens, H.|27/09/1912|Europe, Iceland, North Iceland Mountains|1||adult||skin|Stevens, H.||||||||1
26523|NEWHM : 1995.H2074|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Bewick's Swan||Mount of a Bewick's Swan|This Bewick's Swan was discovered at Haydon Bridge, Northumberland, by Richard Wingate of Newcastle upon Tyne. It was the second of its kind to be found, and was described in 1830 as a new species of animal, called Bewick's Swan (Cygnus bewickii), in honour of Thomas Bewick. It is a type specimen of that species. There was controversy between several ornithologists who claimed to be the first to see this species but the first person to publish a description was W. Yarrell, shortly beating P.J. Selby.|Bewick's Swan|Anseriformes & Anatidae : : : Aves : Chordata||1829-02-07|UK, England, Northumberland (NE England), Haydon Bridge||1|adult||mount|||||||||2
26528|NEWHM : 1995.H2079|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Red-breasted Goose||Mount of a Red-breasted Goose|The Red Breasted Goose is a small goose that breeds in parts of northern Siberia, and migrates south to spend the winter around the coast of the Black Sea in Hungary, Bulgaria and Romania. A few birds reach western Europe each winter. This specimen is believed to be the first bird ever recorded in Britain, shot near London in the winter of 1776. There have been about 60 records of the bird since then, mainly in the south east.|Red-breasted Goose|Anatidae : : : Aves : Chordata|Tunstall, M.|1776|UK, England (SE), London|||adult||mount|||||||||2
26551|NEWHM : 1995.H2102|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Bluethroat||Mount of a Bluethroat|The Bluethroat is a small member of the thrush family. It breeds in tundra and shrubby vegetation throughout northern Scandinavia, Russia and across Asia. It spends the winter in parts of the Middle East and southern Africa. A few are normally seen in Britain every year, mainly on the east coast in the spring and autumn. These are birds that have stopped off here whilst migrating across Europe. This bird was shot on the Newcastle Town Moor in May, 1826.|Bluethroat|Turdidae : : : Aves : Chordata|Embleton, Thomas W.|1826-05-28|UK, England, Tyne and Wear, Newcastle upon Tyne|1||adult||mount|||||||||1
26581|NEWHM : 1999.H1019|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Wood Pigeon||Mount of a Wood Pigeon||Wood Pigeon|Columbidae : : : Aves : Chordata|Quinn, Dr J. G.|14/03/1959|UK, England, Northumberland (NE England), Ford, Flodden Edge|1||adult||mount|Cook, S. E.||||||light cinnamon (leucistic)||1
26593|NEWHM : 1999.H1031|Natural Sciences|Vertebrate Zoology|Birds||1|bird mount|Little Bittern||Mount of a Little Bittern||Little Bittern|Ardeidae : : : Aves : Chordata|Joicey, The Honourable M. E.|15/10/1962|UK, England, Northumberland (NE England), Crookham and Milfield (on main road between), Fishers Steads||1|immature||mount|Morgan, Terry||||||||1
